country,name,symbol,tag,id,issuer,isin,asset class
netherlands,Meesman Indexfonds Aandelen Wereldwijd,0P00001DH0,meesman-indexfonds-aandelen-wereldw,1025913,Meesman Index Investments BV,NL0010436663,equity
netherlands,Dpam Invest B - Equities Europe Small Caps W Cap,0P0000ZESZ,b-equities-europe-small-caps-w-capi,1032021,Degroof Petercam Asset Management S.A.,BE6246055311,equity
netherlands,Dpam Invest B - Equities Europe Small Caps V Dis,0P0000ZESY,b-equities-europe-small-caps-v-dist,1032020,Degroof Petercam Asset Management S.A.,BE6246050262,equity
netherlands,Beleggingsfonds Hoofbosch,0P0000HQS8,beleggingsfonds-hoofbosch,1025920,De Grote Voskuil Capital BV,NL0006327413,equity
netherlands,Nn Sovereign Lt Bond Fund,0P000011XO,delta-lloyd-sovereign-lt-bond-fund,1025909,Delta Lloyd Asset Management NV,NL0001130499,bond
netherlands,Robeco Institutional Core Euro Government Bonds,0P00017ZHI,robeco-institutional-core-euro-gove,1043242,Robeco Institutional Asset Mgmt BV,NL0010278982,bond
netherlands,Robeco One Defensief,0P0000X9NK,robeco-one-defensief,1025935,Robeco Institutional Asset Mgmt BV,NL0010220810,equity
netherlands,Nn First Class Return Fund - N,0P0000XSGJ,nn-first-class-return-fund-n,1025936,NN Investment Partners BV,NL0010290573,equity
netherlands,Quest Management - Quest Cleantech Fund B Acc,0P0000GAAP,quest-cleantech-fund-b-acc,1055974,VP Fund Solutions (Luxembourg) SA,LU0346062424,equity
netherlands,Aeam Global High Yield Fund (eur),0P00006T2Y,aeam-global-high-yield-fund-eur-inc,1025914,Aegon Investment Management BV,NL0000685576,bond
netherlands,Nn Dynamic Mix Fund Ii - P,0P00000FVZ,nn-dynamic-mix-fund-ii-p,1025899,NN Investment Partners BV,NL0000293157,equity
netherlands,Hof Hoorneman Obligatie Fonds,0P0000NBGV,hof-hoorneman-obligatie-fonds,1131300,Hof Hoorneman Fund Management NV,NL0010514204,bond
netherlands,Asr Mixfonds V,0P00018H25,asr-mixfonds-v,1025961,ASR Nederland Beleggingsbeheer N.V.,NL0012294037,equity
netherlands,Kempen Orange Fund N.v.,0P00000B8H,kempen-orange-fund-n.v.,1025875,Kempen Capital Management N.V.,NL0000289627,equity
netherlands,Hof Hoorneman Income Fund,0P00000BBE,hof-hoorneman-income-fund,1025885,Hof Hoorneman Fund Management NV,NL0009864479,bond
netherlands,Optimix Mix Fund,0P00000BBH,optimix-mix-fund,1025887,Optimix Vermogensbeheer N.V.,NL0000287100,equity
netherlands,Nn Dynamic Mix Fund V - P,0P00000FW2,nn-dynamic-mix-fund-v-p,1025902,NN Investment Partners BV,NL0000293181,equity
netherlands,Hof Hoorneman Phoenix Fund,0P00000GJT,hof-hoorneman-phoenix-fund,1131297,Hof Hoorneman Fund Management NV,NL0009864487,bond
netherlands,Aeam European Bond Fund,0P00006T31,aeam-european-bond-fund-inc,1025915,Aegon Investment Management BV,NL0000685550,bond
netherlands,Hof Hoorneman Value Fund,0P00001BB8,hof-hoorneman-value-fund,1025912,Hof Hoorneman Fund Management NV,NL0009864461,equity
netherlands,Optimix Income Fund,0P00000BBJ,optimix-income-fund,1025888,Optimix Vermogensbeheer N.V.,NL0000287084,bond
netherlands,Kempen Profielfonds 5 Klasse N,LP65057926,kempen-profielfonds-5,1011126,Kempen Capital Management N.V.,NL0000290492,equity
netherlands,Kempen Profielfonds 3 Klasse N,LP65057925,kempen-profielfonds-3,1011129,Kempen Capital Management N.V.,NL0000290476,equity
netherlands,Aeam Emerging Market Debt Fund (eur),0P00006T34,aeam-emerging-market-debt-fund-eur,1025917,Aegon Investment Management BV,NL0000685600,bond
netherlands,Add Value Fund N.v.,0P0000KXF3,add-value-fund-n.v.,1025921,Optimix Vermogensbeheer N.V.,NL0009388743,equity
netherlands,Dpam Invest B - Bonds Eur Ig V Dis,0P0000ZESG,b-bonds-eur-ig-v-distribution,1032012,Degroof Petercam Asset Management S.A.,BE6246069452,bond
netherlands,Dpam Invest B - Bonds Eur Ig W Cap,0P0000ZESH,b-bonds-eur-ig-w-capitalisation,1032013,Degroof Petercam Asset Management S.A.,BE6246071474,bond
netherlands,Insingergilissen European Mid Cap Fund,0P000153L0,insinger-de-beaufort-european-mid-c,1025954,InsingerGilissen Asset Management N.V.,NL0010986428,equity
netherlands,Dpam Invest B - Equities Sustainable Food Trends W Cap,0P0000ZESL,b-equities-agrivalue-w-capitalisati,1032017,Degroof Petercam Asset Management S.A.,BE6246067431,equity
netherlands,Dpam Invest B - Equities Sustainable Food Trends V Dis,0P0000ZESK,b-equities-agrivalue-v-distribution,1032016,Degroof Petercam Asset Management S.A.,BE6246065419,equity
netherlands,Optimix Wereld Aandelen Fonds,0P0000ZG4Y,optimix-wereld-aandelen-fonds,1025941,Optimix Vermogensbeheer N.V.,NL0010558813,equity
netherlands,Kempen Profielfonds 4 Klasse N,LP65057924,kempen-profielfonds-4,1011128,Kempen Capital Management N.V.,NL0000290484,equity
netherlands,Kempen Profielfonds 2 Klasse N,LP65057923,kempen-profielfonds-2,1011127,Kempen Capital Management N.V.,NL0000290468,equity
netherlands,Hof Hoorneman European Value Fund,0P00000C1T,hof-hoorneman-european-value-fund,1131298,Hof Hoorneman Fund Management NV,NL0009864495,equity
netherlands,Dpam Invest B - Equities World Dividend W Eur Cap,0P0000ZET7,b-equities-world-dividend-w-capital,1032022,Degroof Petercam Asset Management S.A.,BE6246080566,equity
netherlands,Nn Financials Fund - P,0P00000BB9,nn-financials-fund-p,1025884,NN Investment Partners BV,NL0000286169,equity
netherlands,Dd Equity Fund A Eur,0P0000Z07X,dd-equity-fund-a-eur,1043245,DoubleDividend,NL0010511002,equity
