country,name,symbol,tag,id,currency
brazil,iShares BM&FBOVESPA Small Cap,SMAL11,ishares-bm-fbovespa-small-cap,39013,BRL
brazil,It Now PIBB IBrX-50,PIBB11,it-now-pibb-ibrx-50,39012,BRL
brazil,XP MALLS FDO INV IMOB FII,XPML11,xp-malls-fdo-inv-imob-fii,1057399,BRL
brazil,Fundo de Invest Ishares SP 500,IVVB11,fundo-de-invest-ishares-sp-500,956435,BRL
brazil,Fundo de Investimento Imobiliario FII UBS BR Receb,UBSR11,fundo-inv-imob-fii-ubs-br,1057218,BRL
brazil,Fdo Inv Imob VBI Logístico,LVBI11,fdo-inv-imob-vbi-logistico,1112805,BRL
brazil,Malls Brasil Plural Fundo De Investimento Imobilia,MALL11,fii-malls-bp,1057398,BRL
brazil,CAIXA Ibovespa,XBOV11,caixa-ibovespa,976602,BRL
brazil,It Now IGCT,GOVE11,it-now-igct,39009,BRL
brazil,It Now IMAT,MATB11,it-now-imat,39010,BRL
brazil,Fundo de FI Imobiliario Kinea FII,KFOF11,fundo-de-fi-imobiliario-kinea-fii,1123180,BRL
brazil,iShares IBrX Brasil,BRAX11,ishares-ibrx-brazil---ibrx100,39005,BRL
brazil,It Now IDIV,DIVO11,it-now-idiv,39007,BRL
brazil,It Now SP500 TRN,SPXI11,it-now-sp500-trn,956434,BRL
brazil,FI Imobiliario - Ourinvest Fundo de Fundos,OUFF11,fi-imob-ourinvest-fundo-de-fundos,1142247,BRL
brazil,It Now ISE,ISUS11,it-now-ise,37518,BRL
brazil,It Now IFNC,FIND11,it-now-ifnc,37519,BRL
brazil,Votorantim Securities Master FII-FII,VOTS11,votorantim-securitiesmaster-fii-fii,1097705,BRL
brazil,Brazil Realty Fundo de Investimento Imobiliario FI,BZLI11,brazil-realty-fundo-inv-fii,1057217,BRL
brazil,iShares Carbono Eficiente (ICO2) Brasil,ECOO11,ishares-carbon-efficient-brasil,39008,BRL
brazil,Caixa Rio Bravo Fundo de Fundos de Investimento Im,CRFF11,rio-bravo-investimento-imobiliario,1131605,BRL
brazil,BB SP Dividendos,BBSD11,bb-sp-dividendos,976601,BRL
brazil,Loft I - Fdo Inv Imob,LOFT11B,loft-i-fdo-inv-imob,1138387,BRL
bulgaria,EXPAT Bulgaria SOFIX,BGX,expat-bulgaria-sofix,1024371,BGN
canada,BetaPro Crude Oil 2x Daily Bull,HOU,horizons-nymex-crude-oil-bull-plus,39046,CAD
canada,iShares S&P/TSX 60,XIU,ishares-s-p-tsx-60,39072,CAD
canada,BetaPro Crude Oil 2x Daily Bear,HOD,horizons-nymex-crude-oil-bear-plus,39045,CAD
canada,BetaPro Natural Gas 2x Daily Bear,HND,horizons-nymex-natural-gas-bear-,39043,CAD
canada,BetaPro Canadian Gold Miners 2x Daily Bear,HGD,horizons-tsx-global-gold-bear-plus,39038,CAD
canada,BetaPro Natural Gas 2x Daily Bull,HNU,horizons-nymex-natural-gas-bull-,39044,CAD
canada,BetaPro Canadian Gold Miners 2x Daily Bull,HGU,horizons-tsx-global-gold-bull-plus,39039,CAD
canada,BMO S&P/TSX Equal Weight Banks,ZEB,bmo-tsx-equal-weight-banks-index,48141,CAD
canada,iShares S&P/TSX Global Gold,XGD,ishares-tsx-global-gold,48123,CAD
canada,iShares S&P/TSX Capped Energy,XEG,ishares-tsx-capped-energy-fund,48195,CAD
canada,Horizons Medical Marijuana Life Sciences,HMMJ,horizons-med-marijuana-life-sci,1008791,CAD
canada,iShares Core S&P/TSX Capped Composite,XIC,ishares-tsx-capped-composite-fund,39070,CAD
canada,iShares S&P/TSX Capped Financials,XFN,ishares-tsx-capped-financials-fund,48196,CAD
canada,Horizons S&P/TSX 60,HXT,horizons-s-p-tsx-60-index,39051,CAD
canada,BetaPro S&P 500 2x Daily Bear,HSD,horizons-betapro-s-p-500-bear-plus,48259,CAD
canada,iShares Core S&P 500 (CAD Hedged),XSP,ishares-s-p-500-to,48089,CAD
canada,iShares Canadian Financial Monthly Income Common C,FIE,ishares-can.-financial-mon-inc.,48242,CAD
canada,BMO Aggregate Bond,ZAG,bmo-aggregate-bond-index,39079,CAD
canada,iShares S&P/TSX Capped REIT,XRE,ishares-tsx-capped-reit,48197,CAD
